Date,Bullish,Neutral,Bearish
11/13/92,-0.244897959,0.62962963,-0.208333333
11/20/92,0.297297297,-0.136363636,-0.263157895
11/25/92,-0.104166667,-0.026315789,0.428571429
12/4/92,-0.139534884,0.054054054,0.2
12/11/92,0.162162162,0.076923077,-0.375
12/18/92,0.465116279,-0.357142857,-0.333333333
12/24/92,-0.126984127,0.111111111,0.5
1/1/93,0.090909091,-0.1,-0.133333333
1/8/93,-0.666666667,0.814814815,1.384615385
1/15/93,1.7,-0.346938776,-0.548387097
1/22/93,-0.240740741,0.1875,0.5
1/29/93,-0.024390244,-0.026315789,0.095238095
2/5/93,0.1,-0.081081081,-0.043478261
2/12/93,0.068181818,-0.088235294,0
2/19/93,-0.021276596,-0.129032258,0.227272727
2/26/93,-0.260869565,0.185185185,0.259259259
3/5/93,-0.205882353,0.125,0.088235294
3/12/93,0.666666667,-0.083333333,-0.405405405
3/19/93,-0.088888889,-0.03030303,0.227272727
3/26/93,0.048780488,0.0625,-0.148148148
4/2/93,-0.139534884,0.058823529,0.173913043
4/9/93,-0.135135135,0.083333333,0.074074074
4/16/93,-0.03125,-0.102564103,0.172413793
4/23/93,-0.096774194,0.2,-0.117647059
4/30/93,-0.214285714,-0.119047619,0.366666667
5/7/93,-0.045454545,0.216216216,-0.170731707
5/14/93,-0.047619048,-0.088888889,0.147058824
5/21/93,0.05,-0.170731707,0.153846154
5/28/93,0.142857143,0.088235294,-0.133333333
6/4/93,0.375,0.054054054,-0.282051282
6/11/93,-0.303030303,-0.076923077,0.464285714
6/18/93,-0.043478261,-0.027777778,0.048780488
6/25/93,0.272727273,0.085714286,-0.209302326
7/2/93,-0.357142857,0.157894737,0.117647059
7/9/93,0.166666667,0.022727273,-0.105263158
7/16/93,0.047619048,-0.022222222,0
7/23/93,0.090909091,-0.022727273,-0.029411765
7/30/93,0.041666667,0.046511628,-0.090909091
8/6/93,0.04,-0.066666667,0.066666667
8/13/93,-0.038461538,-0.023809524,0.0625
8/20/93,0.16,0,-0.117647059
8/27/93,-0.068965517,-0.146341463,0.266666667
9/3/93,0.407407407,-0.057142857,-0.236842105
9/10/93,-0.210526316,-0.090909091,0.379310345
9/17/93,0.066666667,0.133333333,-0.15
9/24/93,-0.125,0.176470588,-0.058823529
10/1/93,-0.071428571,-0.15,0.25
10/8/93,0.115384615,0.088235294,-0.15
10/15/93,0.068965517,0.027027027,-0.088235294
10/22/93,0.35483871,-0.210526316,-0.096774194
10/29/93,0.023809524,0.1,-0.142857143
11/4/93,-0.255813953,0.090909091,0.333333333
11/11/93,0.09375,-0.166666667,0.09375
11/18/93,-0.028571429,0.033333333,0
11/24/93,0.323529412,-0.032258065,-0.285714286
12/2/93,-0.266666667,0.066666667,0.4
12/9/93,0.121212121,0.21875,-0.314285714
12/16/93,-0.108108108,-0.025641026,0.208333333
12/23/93,0.090909091,-0.184210526,0.137931034
12/30/93,0.222222222,-0.096774194,-0.151515152
1/6/94,-0.090909091,0.178571429,-0.035714286
1/13/94,-0.05,-0.060606061,0.148148148
1/20/94,0.263157895,-0.161290323,-0.161290323
1/27/94,-0.145833333,-0.038461538,0.307692308
2/3/94,-0.073170732,0.16,-0.029411765
2/10/94,0.289473684,-0.068965517,-0.272727273
2/17/94,-0.183673469,0.333333333,0
2/24/94,0.025,-0.166666667,0.208333333
3/3/94,-0.243902439,0.4,-0.068965517
3/10/94,-0.064516129,-0.19047619,0.37037037
3/17/94,-0.172413793,0.205882353,-0.054054054
3/24/94,0.208333333,-0.097560976,-0.028571429
3/31/94,-0.206896552,-0.108108108,0.294117647
4/7/94,0.217391304,-0.060606061,-0.068181818
4/14/94,0.035714286,-0.258064516,0.170731707
4/21/94,-0.103448276,0.782608696,-0.3125
4/28/94,0.038461538,-0.146341463,0.151515152
5/5/94,0.185185185,-0.085714286,-0.052631579
5/12/94,0.1875,0,-0.166666667
5/19/94,-0.421052632,0.125,0.4
5/26/94,0.318181818,-0.083333333,-0.095238095
6/2/94,0.344827586,0.090909091,-0.342105263
6/9/94,-0.282051282,0.305555556,0
6/16/94,0.142857143,-0.106382979,0.04
6/23/94,-0.09375,0.071428571,0
6/30/94,0.103448276,-0.177777778,0.192307692
7/7/94,-0.125,-0.135135135,0.290322581
7/14/94,-0.107142857,0.25,-0.125
7/21/94,0.36,-0.05,-0.2
7/28/94,-0.205882353,0.105263158,0.107142857
8/4/94,-0.185185185,0.238095238,-0.161290323
8/11/94,0.545454545,-0.288461538,0.115384615
8/18/94,-0.117647059,0.081081081,0.034482759
8/25/94,0.066666667,-0.025,-0.033333333
9/1/94,0.34375,-0.128205128,-0.206896552
9/8/94,0.093023256,-0.029411765,-0.130434783
9/15/94,-0.042553191,-0.242424242,0.5
9/22/94,-0.177777778,0.44,-0.1
9/29/94,0.027027027,-0.111111111,0.111111111
10/6/94,-0.131578947,0.21875,-0.066666667
10/13/94,0.060606061,0,-0.071428571
10/20/94,0.114285714,-0.153846154,0.076923077
10/27/94,0.102564103,0.151515152,-0.321428571
11/3/94,-0.069767442,-0.078947368,0.315789474
11/10/94,-0.075,-0.114285714,0.28
11/17/94,0.054054054,-0.290322581,0.21875
11/23/94,0,0.454545455,-0.256410256
11/30/94,0.128205128,-0.0625,-0.103448276
12/8/94,-0.318181818,0.166666667,0.346153846
12/15/94,0.1,0,-0.085714286
12/22/94,0.272727273,-0.285714286,0.03125
12/29/94,-0.047619048,0.72,-0.484848485
1/5/95,0.1,-0.279069767,0.470588235
1/12/95,-0.181818182,0.35483871,-0.12
1/19/95,0.027777778,-0.071428571,0.090909091
1/26/95,0.027027027,-0.051282051,0.041666667
2/2/95,0,0,0
